date,time,temp,hum,soil_moisture,par
2026-03-25,21:06:41,12.8,12.23,16.71,899
2026-03-19,12:55:12,39.07,2.59,8.07,1283
2026-02-10,11:49:12,34.46,70.13,17.34,212
2026-03-16,0:11:44,36.52,81.27,18.02,1077
2026-02-05,23:10:35,32.79,53.25,27.03,911
2026-02-28,13:44:47,11.69,19.97,5.19,1896
2026-03-08,5:45:20,41.66,49.6,8.44,324
2026-02-01,11:33:58,30.6,11.26,4.61,1182
2026-02-11,17:58:09,43.09,24.46,16.58,295
2026-03-11,4:42:32,29.62,32.88,0.81,1595
2026-02-17,4:27:45,25.06,57.8,0.73,1577
2026-01-25,15:17:47,2.86,30.91,6.88,492
2026-03-22,5:32:37,3.43,99.34,24.0,1572
2026-04-06,23:11:37,17.54,26.08,7.34,2496
2026-01-25,10:28:14,43.57,91.42,26.29,2353
2026-03-12,6:02:28,41.68,61.3,7.23,2229
2026-03-28,8:37:22,19.23,16.09,4.08,1235
2026-03-11,14:41:48,28.59,93.14,5.62,1761
2026-04-06,15:35:34,21.94,9.42,25.98,1937
2026-02-03,21:04:05,15.41,69.63,1.73,657
2026-03-16,22:22:13,32.4,69.82,7.61,588
2026-02-17,10:17:29,17.25,75.35,29.03,916
2026-01-17,21:16:22,20.52,65.5,18.15,1490
2026-03-13,22:48:39,19.9,15.94,7.23,1171
2026-01-17,17:50:45,6.93,92.06,0.88,417
2026-01-15,16:40:36,25.95,82.28,5.54,1586
2026-01-21,20:18:39,20.99,71.26,15.49,2465
2026-03-18,1:30:02,23.82,30.42,14.04,1374
2026-02-14,3:40:04,41.86,65.93,19.77,2249
2026-03-27,20:50:50,6.74,89.57,14.32,1025
2026-03-06,20:49:04,20.39,41.23,22.7,1775
2026-04-07,17:48:23,31.99,21.16,4.87,2118
2026-03-27,12:18:15,28.55,98.07,19.17,1044
2026-03-06,10:33:12,29.97,86.69,13.81,743
2026-03-06,5:17:35,17.37,47.27,27.45,1556
2026-02-09,20:30:17,5.74,93.37,14.64,889
2026-04-02,0:44:32,14.79,67.76,29.47,1281
2026-02-17,6:58:43,34.7,50.18,29.78,478
2026-03-26,13:50:04,19.42,80.56,5.13,1449
2026-03-25,2:36:00,2.94,77.19,29.76,324
2026-02-09,13:02:43,37.34,80.41,27.42,1062
2026-01-28,17:09:32,29.55,33.77,23.43,606
2026-03-16,7:08:58,7.66,21.45,19.44,1286
2026-02-03,23:29:00,35.38,5.2,13.95,2341
2026-01-17,6:27:29,32.41,74.6,24.93,1600
2026-01-15,2:28:55,14.57,48.75,6.82,1577
2026-01-27,1:35:33,18.01,26.82,7.6,1583
2026-01-22,12:15:18,18.86,32.89,28.79,983
2026-02-02,17:07:26,5.04,77.01,5.92,1828
2026-02-26,16:51:47,22.15,48.52,25.28,306
2026-02-20,3:45:51,11.24,70.97,11.95,1890
2026-03-20,12:26:45,10.23,76.12,5.96,1880
2026-04-05,18:36:30,26.61,58.2,18.41,574
2026-02-02,18:48:40,43.08,41.24,21.64,217
2026-01-14,2:06:14,7.62,51.46,0.4,2000
2026-02-05,4:53:26,26.22,88.52,26.35,774
2026-01-05,13:51:46,39.65,92.18,19.74,1918
2026-02-08,7:58:35,14.49,5.08,14.34,2498
2026-02-10,15:10:37,32.88,17.09,29.2,661
2026-03-20,13:05:14,2.51,13.73,22.3,2426
2026-01-28,1:53:26,6.08,86.27,8.56,1611
