id,Date,time,temp,hum,soil_moisture,par
1,1/1/2026,1:51:16,33.54,52.53,13.99,1546
2,1/1/2026,2:01:53,18.12,32.53,10.14,1417
3,1/1/2026,4:00:26,19.54,40.64,12.29,1462
4,1/1/2026,4:28:09,14.54,11.88,17.71,1838
5,1/1/2026,7:43:17,29.67,65.79,13.4,114
6,1/1/2026,8:33:59,19.5,24,17.41,2080
7,1/1/2026,11:57:38,21.81,32.14,26.95,1176
8,1/1/2026,12:43:17,30.17,36.76,27.1,731
9,1/1/2026,13:58:33,22.95,23.78,16.81,387
10,1/1/2026,14:57:09,29.6,41.6,17.13,1529
11,1/1/2026,16:26:28,19.59,5.69,22.83,1141
12,1/1/2026,17:53:53,20.8,48.99,28.3,231
13,1/1/2026,20:01:29,13.38,63,19.85,305
14,1/1/2026,21:08:29,33.37,13.45,13.08,278
15,1/1/2026,21:13:53,11.13,33.66,11.58,1645
16,1/2/2026,1:55:44,27.17,80.35,13.21,991
17,1/2/2026,3:01:07,14.44,78.79,13.21,2281
18,1/2/2026,4:47:30,10.69,44.32,24.1,2177
19,1/2/2026,5:13:19,19.65,36.43,12.6,2087
20,1/2/2026,5:34:02,11.74,57.95,26.74,1321
21,1/2/2026,6:48:42,32.88,75.2,14.68,1622
22,1/2/2026,7:33:29,21.65,60.52,25.54,776
23,1/2/2026,13:52:05,17,54.19,12.78,1563
24,1/2/2026,13:52:43,13.7,20.32,26.52,1740
25,1/2/2026,17:08:33,22.55,32.45,14.87,858
26,1/2/2026,19:05:11,29.34,48.77,10.84,1316
27,1/2/2026,19:18:24,27.77,19.58,20.29,401
28,1/2/2026,22:19:20,20.97,75.14,15.13,1760
29,1/3/2026,0:58:50,17.24,46.55,12.61,674
30,1/3/2026,3:15:41,31.55,71.18,19.73,1332
31,1/3/2026,5:34:00,19.82,59.16,16.74,2140
32,1/3/2026,5:47:20,31.58,66.85,25.91,1597
33,1/3/2026,6:42:05,20.17,80.22,20.09,1338
34,1/3/2026,7:19:27,28.21,76.91,18.35,1650
35,1/3/2026,9:54:34,23.07,71.68,24,551
36,1/3/2026,12:32:41,24.53,63.25,10.54,107
37,1/3/2026,13:07:07,15.97,80.55,10.56,2164
38,1/3/2026,14:02:36,26.06,14.04,15.65,1127
39,1/3/2026,17:04:48,16.28,13.91,15.05,2150
40,1/3/2026,20:06:31,23.56,14.28,16.85,1797
41,1/3/2026,20:09:24,27.1,41.15,22.06,465
42,1/3/2026,22:36:17,20.81,49.85,14.66,1557
43,1/3/2026,23:01:23,24.2,69.95,13.86,2154
44,1/3/2026,23:18:00,13.91,68.3,20.78,196
45,1/4/2026,0:33:21,18.18,84.91,14.2,536
46,1/4/2026,3:04:26,19.43,70.22,24.78,386
47,1/4/2026,4:50:32,25.9,64.92,19.23,2212
48,1/4/2026,7:27:10,19.87,84.47,14.11,5
49,1/4/2026,11:38:30,16.33,7.46,19.19,453
50,1/4/2026,12:28:36,17.58,24.5,29.97,439
51,1/4/2026,12:48:57,10.1,28.17,14.71,2195
52,1/4/2026,13:31:09,20.34,10.28,22.46,1482
53,1/4/2026,17:21:56,20.59,62.62,26.05,1487
54,1/4/2026,17:53:44,33.7,82.14,23.09,294
55,1/4/2026,18:09:25,20.1,17.65,11.61,1313
56,1/4/2026,19:55:38,14.91,72.42,11.14,1758
57,1/4/2026,20:16:39,11.04,61.53,24.23,50
58,1/4/2026,20:55:05,12.74,57.85,29.48,1773
59,1/4/2026,21:08:26,13.36,83.44,24.75,2248
60,2/1/2026,2:07:05,29.8,59.73,23.5,1640
61,2/1/2026,7:42:15,32.76,27.16,15.94,18
62,2/1/2026,8:27:05,23.99,69.34,14.44,1784
63,2/1/2026,8:33:21,18.92,29.64,30,1506
64,2/1/2026,16:57:42,26.44,37.06,14.09,1924
65,2/1/2026,18:38:06,18.76,31.47,13.78,189
66,2/1/2026,19:23:59,27.67,84.52,14.76,245
67,2/1/2026,21:27:35,22.29,19.99,12.39,466
68,2/2/2026,2:32:08,13.49,13.2,24.14,1892
69,2/2/2026,3:11:49,31.07,83.57,23.61,928
70,2/2/2026,6:31:56,22.33,46.52,10.61,333
71,2/2/2026,8:06:42,11.16,51.52,29.87,1585
72,2/2/2026,8:16:16,19.06,36.99,20.63,2154
73,2/2/2026,11:36:40,28.89,46.99,27.41,1522
74,2/2/2026,12:34:57,16.87,19.31,25.48,149
75,2/2/2026,15:43:16,32.41,15.18,12.87,1744
76,2/2/2026,18:15:18,24.13,26.64,23.07,1859
77,2/2/2026,23:00:05,27.45,9.68,26.49,1684
78,2/3/2026,0:28:14,25.16,57.29,13.67,1187
79,2/3/2026,0:54:06,21.37,10.63,25.77,81
80,2/3/2026,1:20:29,18.97,20.74,11.81,729
81,2/3/2026,3:15:48,24.52,29.79,25.04,231
82,2/3/2026,6:34:01,24.21,67.57,19.44,1727
83,2/3/2026,7:36:45,29.07,61.65,27.7,2018
84,2/3/2026,9:36:50,31.33,31.23,19.96,605
85,2/3/2026,9:42:38,25.96,46.73,28.38,1517
86,2/3/2026,13:48:00,25.17,38.96,26.56,2265
87,2/3/2026,22:52:46,22.22,42.37,25.16,1062
88,2/4/2026,0:06:32,17.45,53.65,10.62,807
